branch_id;receipt_id;product_id;quantity;payment_id;date;items_price
1;1;202;5;1;20200101;3.5
1;1;110;4;1;20200101;7
1;1;66;5;1;20200101;12
1;1;199;5;1;20200101;2.5
1;1;90;4;1;20200101;6.5
1;1;227;6;1;20200101;2.5
1;1;214;1;1;20200101;2.5
1;1;294;6;1;20200101;1.5
1;1;386;6;1;20200101;3.7
1;1;184;3;1;20200101;3.5
1;1;239;6;1;20200101;3
1;1;429;6;1;20200101;1.8
1;1;76;4;1;20200101;11
1;1;100;1;1;20200101;7.5
1;1;28;5;1;20200101;15
1;2;353;3;1;20200101;3.7
1;2;97;2;1;20200101;8.5
1;2;355;1;1;20200101;3
1;2;311;3;1;20200101;1.7
1;2;40;2;1;20200101;12
1;2;331;4;1;20200101;3.5
1;2;79;6;1;20200101;6.5
1;2;349;6;1;20200101;3
1;2;225;5;1;20200101;2.5
1;2;54;1;1;20200101;15
1;2;32;5;1;20200101;11.5
1;2;235;1;1;20200101;3
1;2;135;3;1;20200101;9
1;2;113;4;1;20200101;7
1;2;119;2;1;20200101;7.5
1;3;415;2;1;20200101;1.5
1;3;61;6;1;20200101;11
1;3;219;3;1;20200101;3
1;3;201;3;1;20200101;2.5
1;3;310;5;1;20200101;1.7
1;3;336;4;1;20200101;3
1;3;288;6;1;20200101;8.5
1;3;9;2;1;20200101;10
1;3;349;1;1;20200101;3
1;3;344;1;1;20200101;4.2
1;3;445;2;1;20200101;3.5
1;3;166;5;1;20200101;12
1;3;60;3;1;20200101;14.5
1;3;275;2;1;20200101;8.5
1;3;390;2;1;20200101;3.7
1;4;423;6;2;20200101;1.5
1;4;11;3;2;20200101;15
1;4;318;6;2;20200101;1.5
1;4;262;1;2;20200101;2.5
1;4;107;4;2;20200101;6.5
1;4;207;3;2;20200101;3
1;4;376;5;2;20200101;3.5
1;4;243;1;2;20200101;2.5
1;4;317;4;2;20200101;2
1;4;165;5;2;20200101;15.5
1;4;241;5;2;20200101;2.5
1;4;294;6;2;20200101;1.5
1;4;283;5;2;20200101;6.5
1;4;35;3;2;20200101;12
1;4;247;6;2;20200101;2.5
1;5;402;3;1;20200101;3
1;5;436;4;1;20200101;2.2
1;5;406;6;1;20200101;1.8
1;5;411;4;1;20200101;1.5
